investigator,nct_id,sponsor_name
paola alberti,NCT04633655,University of Milano Bicocca
kishal lukhna,NCT04813159,"Wentworth Hospital, South Africa"
eltayeb hamid,NCT04813159,University of Cape Town
mergan naidoo,NCT04813159,"Al Saha Specialised Hospital, Sudan"
keiran mwazo,NCT04813159,University of Cape Town
trevor gould,NCT04813159,University of Cape Town
elijah ogola,NCT04813159,"Coast General Teaching Hospital, Kenya"
elijah elijah,NCT04813159,University of Cape Town
ehab ali elmakki,NCT04813159,University of Cape Town
nasief van der schyff,NCT04813159,University of Cape Town
ebrahim variava,NCT04813159,Uganda Heart Institute
mohamed e elfadl abdelhameed,NCT04813159,University of Cape Town
brian kiggundu,NCT04813159,"Tshepong Hospital, South Africa"
emmy okello,NCT04813159,University of Cape Town
mpiko ntsekhe,NCT04813159,University of Cape Town
awad mohamed,NCT04813159,"Charlotte Maxeke Hospital, South Africa"
awad a mohamed,NCT04813159,"Royal Care international Hospital, Sudan"
arthur mutyab,NCT04813159,University of Cape Town
vickie mumbo,NCT04813159,University of Cape Town
omaima abozaid,NCT04813159,"Victoria Hospital, South Africa"
alistair calver,NCT04813159,University of Cape Town
abdullah a bajaber,NCT04813159,University of Cape Town
abdelbagi s ali,NCT04813159,"Al Shaab Teaching Hospital, Sudan"
edward k maina,NCT04938518,Kenya Medical Research Institute
rudovick kazwala,NCT05139524,Washington State University
sheila makiala,NCT05139524,Washington State University
robert breiman,NCT05139524,Washington State University
justin masumu,NCT05139524,"Charite University, Berlin, Germany"
luciana lepore,NCT05139524,"Ministry of Agriculture, Fisheries and Livestock, Democratic Republic of Congo"
deo ndumu,NCT05139524,Kenya Ministry of Health
barnabas bakamutumaho,NCT05139524,Washington State University
veerle vanlerberghe,NCT05139524,"Charite University, Berlin, Germany"
veerle veerle vanlerberghe,NCT05139524,"Charite University, Berlin, Germany"
m kariuki njenga,NCT05139524,Washington State University
luke nyakarahuka,NCT05139524,Kenya Ministry of Health
jeanette dawa,NCT05139524,"Ministry of Agriculture, Fisheries and Livestock, Democratic Republic of Congo"
betty mwesigwa,NCT05147519,Henry M. Jackson Foundation for the Advancement of Military Medicine
mary paul,NCT05154513,International Maternal Pediatric Adolescent AIDS Clinical Trials Group
stephen spector,NCT05154513,International Maternal Pediatric Adolescent AIDS Clinical Trials Group
jaime deville,NCT05154513,International Maternal Pediatric Adolescent AIDS Clinical Trials Group
elizabeth mcfarland,NCT05154513,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)
charles d mitchell,NCT05154513,International Maternal Pediatric Adolescent AIDS Clinical Trials Group
mutsa bwakura-dangarembizi,NCT05154513,International Maternal Pediatric Adolescent AIDS Clinical Trials Group
gift mulima,NCT05177393,"University of California, San Francisco"
