author,citation,country,year,impact_factor
paola alberti,Neurology Neuroimmunology & Neuroinflammation   e ,,0,0
paola alberti,Annals of Oncology    ,,0,0
paola alberti,European journal of cancer    ,,0,0
paola alberti,Cancer    ,,0,0
paola alberti,Health and quality of life outcomes   ,,0,0
paola alberti,Annals of oncology    ,,0,0
paola alberti,Journal of Neurology Neurosurgery & Psychiatry    ,,0,0
paola alberti,The lancet oncology    ,,0,0
paola alberti,Current treatment options in neurology   ,,0,0
paola alberti,Cancer    ,,0,0
paola alberti,Annals of oncology    ,,0,0
paola alberti,Neurotherapeutics    ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Journal of Neurology Neurosurgery & Psychiatry    ,,0,0
paola alberti,Journal of the peripheral nervous system    ,,0,0
paola alberti,Journal of the Peripheral Nervous System  SS ,,0,0
paola alberti,Journal of the Peripheral Nervous System  SS ,,0,0
paola alberti,The Journal of clinical investigation    ,,0,0
paola alberti,Experimental neurology   ,,0,0
paola alberti,Journal of the Peripheral Nervous System  SS ,,0,0
paola alberti,Journal of the Peripheral Nervous System  SS ,,0,0
paola alberti,Journal of the Peripheral Nervous System  SS ,,0,0
paola alberti,Cancer research    ,,0,0
paola alberti,European journal of cancer    ,,0,0
paola alberti,Cancer chemotherapy and pharmacology   ,,0,0
paola alberti,The Journal of clinical investigation    ,,0,0
paola alberti,Archives of Toxicology   ,,0,0
paola alberti,Journal of neuroinflammation   ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,American Society of Clinical Oncology Educational Book   ee ,,0,0
paola alberti,Experimental neurology   ,,0,0
paola alberti,European Journal of Neurology    ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Neuropharmacology   ,,0,0
paola alberti,Pharmacogenomics in Drug Discovery and Development  ,,0,0
paola alberti,Expert opinion on drug metabolism & toxicology    ,,0,0
paola alberti,Critical reviews in oncology/hematology   ,,0,0
paola alberti,Proceedings of the National Academy of Sciences   e ,,0,0
paola alberti,Oncology nursing forum    ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Cancer nursing    ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Bibl anatBasel   ,,0,0
paola alberti,Expert opinion on drug metabolism & toxicology    ,,0,0
paola alberti,Muscle & nerve    ,,0,0
paola alberti,Supportive Care in Cancer   ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Neurology   ee ,,0,0
paola alberti,The Lancet Haematology   ee ,,0,0
paola alberti,Expert review of neurotherapeutics    ,,0,0
paola alberti,Zeitschrift für Zellforschung und Mikroskopische Anatomie    ,,0,0
paola alberti,International journal of molecular sciences    ,,0,0
paola alberti,Current opinion in neurology    ,,0,0
paola alberti,European Journal of Pharmacology   ,,0,0
paola alberti,Journal of Neurology Neurosurgery & Psychiatry    ,,0,0
paola alberti,Cancers    ,,0,0
paola alberti,Cells    ,,0,0
paola alberti,International Journal of Molecular Sciences    ,,0,0
paola alberti,Cancer Treatment and Research Communications   ,,0,0
paola alberti,Journal of the Peripheral Nervous System    ,,0,0
paola alberti,Neurotoxicity Research   ,,0,0
paola alberti,Journal of Neuroscience Methods   ,,0,0
paola alberti,Brain sciences    ,,0,0
