author,publication_title,year,citations
paola alberti,GuillainBarré syndrome related to COVID infection,2020,432
paola alberti,The chemotherapyinduced peripheral neuropathy outcome measures standardization study: from consensus to the first validity and reliability findings,2013,346
paola alberti,Chemotherapyinduced peripheral neurotoxicity assessment: a critical revision of the currently available tools,2010,321
paola alberti,Clinical pattern and associations of oxaliplatin acute neurotoxicity: a prospective study in  patients with colorectal cancer,2013,263
paola alberti,Understanding the quality of life (QOL) issues in survivors of cancer: towards the development of an EORTC QOL cancer survivorship questionnaire,2018,213
paola alberti,Physicianassessed and patientreported outcome measures in chemotherapyinduced sensory peripheral neurotoxicity: two sides of the same coin,2014,177
paola alberti,Early predictors of oxaliplatininduced cumulative neuropathy in colorectal cancer patients,2014,168
paola alberti,Chemotherapyinduced peripheral neurotoxicity in the era of pharmacogenomics,2011,144
paola alberti,Chemotherapyinduced neuropathy,2011,132
paola alberti,Voltage‐gated sodium channel polymorphisms play a pivotal role in the development of oxaliplatin‐induced peripheral neurotoxicity: Results from a prospective multicenter study,2013,130
paola alberti,Peripheral neurotoxicity of oxaliplatin in combination with fluorouracil (FOLFOX) or capecitabine (XELOX): a prospective evaluation of  colorectal cancer patients,2012,123
paola alberti,Efficacy of a novel sigma receptor antagonist for oxaliplatininduced neuropathy: a randomized doubleblind placebocontrolled phase IIa clinical trial,2018,115
paola alberti,Long‐term course of oxaliplatin‐induced polyneuropathy: a prospective ‐year follow‐up study,2014,104
paola alberti,Neurophysiological nerve imaging and other techniques to assess chemotherapyinduced peripheral neurotoxicity in the clinical and research settings,2019,91
paola alberti,Chemotherapy‐induced peripheral neurotoxicity can be misdiagnosed by the National Cancer Institute Common Toxicity scale,2011,83
paola alberti,Overview and critical revision of clinical assessment tools in chemotherapy‐induced peripheral neurotoxicity,2019,76
paola alberti,Chemotherapy‐induced peripheral neurotoxicity: A multifaceted still unsolved issue,2019,74
paola alberti,OATPB deficiency protects against paclitaxelinduced neurotoxicity,2018,69
paola alberti,Neurofilament light chain as disease biomarker in a rodent model of chemotherapy induced peripheral neuropathy,2018,68
paola alberti,Bortezomib and other proteosome inhibitors—induced peripheral neurotoxicity: From pathogenesis to treatment,2019,67
paola alberti,Vinca alkaloids thalidomide and eribulin‐induced peripheral neurotoxicity: From pathogenesis to treatment,2019,67
paola alberti,Taxane and epothilone‐induced peripheral neurotoxicity: from pathogenesis to treatment,2019,63
paola alberti,Peripheral neuropathy induced by microtubuletargeted chemotherapies: insights into acute injury and longterm recovery,2018,61
paola alberti,Raschbuilt Overall Disability Scale for patients with chemotherapyinduced peripheral neuropathy (CIPNRODS),2013,59
paola alberti,Incidence of atypical acute nerve hyperexcitability symptoms in oxaliplatintreated patients with colorectal cancer,2012,58
paola alberti,Neuronal uptake transporters contribute to oxaliplatin neurotoxicity in mice,2020,54
paola alberti,Neurofilament light chain: a specific serum biomarker of axonal damage severity in rat models of chemotherapyinduced peripheral neurotoxicity,2020,54
paola alberti,Highdose intravenous immunoglobulins reduce nerve macrophage infiltration and the severity of bortezomibinduced peripheral neurotoxicity in rats,2018,54
paola alberti,Correspondence between neurophysiological and clinical measurements of chemotherapy‐induced peripheral neuropathy: secondary analysis of data from the CI‐PeriNomS study,2014,50
